05/04 06:57:00 FINE sim.Admin|Log for simulation 3 started
************************************************************
* Log for simulation 3 started
************************************************************


05/04 06:57:00 INFO sim.TACAdxSimulation|TACAA Simulation 3 is setting up...
05/04 06:57:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 06:57:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 06:57:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-2 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-3 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-4 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-5 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-6 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-7 simulationSetup
05/04 06:57:00 FINE agents.DummyAdNetwork|dummy DummyAdnetwork-8 simulationSetup
05/04 06:57:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 06:57:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 06:57:00 INFO agents.DemandAgent|setting up...
05/04 06:57:00 FINE agents.DemandAgent|Finished setup
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class se.sics.tasim.props.StartInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class tau.tac.adx.props.PublisherCatalog
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 FINE agents.DummyAdNetwork|class edu.umich.eecs.tac.props.AdvertiserInfo
05/04 06:57:03 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 06:57:03 INFO agents.DemandAgent|allocating initial campaigns
